label,message
spam,"win cash now click this link"
spam,"urgent claim your free prize today"
spam,"limited offer buy now and save"
ham,"can we meet for lunch tomorrow"
ham,"please send the project notes"
ham,"are you coming to class today"
spam,"congratulations you won a gift card"
ham,"the meeting has moved to friday"
spam,"cheap meds available order now"
ham,"thanks for your help yesterday"
spam,"exclusive deal claim your reward"
ham,"do you want to study after school"
spam,"you have been selected for a bonus"
ham,"i will call you after dinner"
ham,"can you review my code tonight"
spam,"act now your account has a reward"
ham,"the notebook is on my desk"
spam,"free entry in a weekly contest"
ham,"let us practice python together"
spam,"click here to unlock your prize"
